,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
49,Château-Gontier,47.83,-0.7,52.0,76,75,10.29,FR,1602680888
50,Teahupoo,-17.83,-149.27,77.0,73,31,9.17,PF,1602680470
51,Magadan,59.57,150.8,37.74,79,100,4.09,RU,1602680889
52,Grand Gaube,-20.01,57.66,79.0,70,0,5.99,MU,1602680487
53,Shenjiamen,29.96,122.3,68.94,74,3,16.8,CN,1602680889
54,Saskylakh,71.92,114.08,10.31,94,30,8.77,RU,1602680345
55,Santa Maria,-29.68,-53.81,69.15,60,61,6.73,BR,1602680715
56,Huanren,41.26,125.37,33.01,80,0,1.43,CN,1602680711
57,Tommot,58.96,126.29,21.83,92,100,9.1,RU,1602680889
58,Keti Bandar,24.14,67.45,91.44,30,0,9.78,PK,1602680889
59,Port Hedland,-20.32,118.57,77.0,78,0,5.82,AU,1602680889
60,Suárez,2.95,-76.7,71.29,67,14,0.67,CO,1602680889
61,Volzhsk,55.87,48.36,64.4,36,94,8.95,RU,1602680889
62,Lompoc,34.64,-120.46,75.2,76,1,4.7,US,1602680700
63,Solnechnyy,50.72,136.63,28.26,81,0,10.96,RU,1602680889
64,Beyneu,45.32,55.2,68.0,25,0,6.89,KZ,1602680890
65,Hailey,43.52,-114.32,48.2,31,1,18.34,US,1602680890
66,College,64.86,-147.8,19.99,62,40,6.93,US,1602680890
67,At-Bashi,41.17,75.81,43.79,56,87,4.81,KG,1602680890
68,Boa Vista,2.82,-60.67,86.0,62,20,12.75,BR,1602680780
69,Cherskiy,68.75,161.3,34.63,85,100,11.81,RU,1602680361
70,Gorontalo,0.54,123.06,78.24,82,99,2.42,ID,1602680365
71,Norman Wells,65.28,-126.83,19.4,85,90,12.75,CA,1602680333
72,Yellowknife,62.46,-114.35,24.8,58,90,20.8,CA,1602680346
73,Saint-Philippe,-21.36,55.77,80.6,65,53,11.41,RE,1602680344
74,Hithadhoo,-0.6,73.08,83.35,74,100,11.92,MV,1602680335
75,La Ronge,55.1,-105.28,26.6,63,90,13.87,CA,1602680450
76,Riohacha,11.54,-72.91,80.55,81,84,6.29,CO,1602680890
77,Qaqortoq,60.72,-46.03,35.6,80,75,3.36,GL,1602680398
78,Atambua,-9.11,124.89,76.01,78,97,2.64,ID,1602680465
79,Byndoor,13.87,74.63,77.63,87,100,7.09,IN,1602680712
80,Klaksvík,62.23,-6.59,46.4,81,79,2.24,FO,1602680891
81,Wahiawā,21.5,-158.02,75.0,88,1,2.3,US,1602680648
82,New Norfolk,-42.78,147.06,54.0,58,100,1.01,AU,1602680891
83,Punta Arenas,-53.15,-70.92,42.8,70,40,19.46,CL,1602680325
84,Saint George,37.1,-113.58,53.6,22,1,3.36,US,1602680124
85,Castro,-24.79,-50.01,79.11,45,19,2.33,BR,1602680341
86,Tasiilaq,65.61,-37.64,39.2,80,40,17.22,GL,1602680337
87,Ozinki,51.18,49.68,63.91,26,100,9.4,RU,1602680891
88,Cartaya,37.28,-7.15,69.01,35,0,11.01,ES,1602680891
89,Dakoro,14.51,6.76,98.98,16,49,6.64,NE,1602680891
90,Coahuayana Viejo,18.73,-103.68,71.6,83,40,3.98,MX,1602680891
91,Barrow,71.29,-156.79,26.6,73,90,16.11,US,1602680892
92,Kukichūō,36.07,139.67,72.0,24,87,6.8,JP,1602680892
93,Mergen,49.18,125.22,29.91,83,0,9.26,CN,1602680892
94,Gijang,35.24,129.21,60.8,38,0,3.36,KR,1602680892
95,Sudova Vyshnya,49.79,23.37,50.0,61,75,17.9,UA,1602680892
96,Sola,-13.88,167.55,77.0,100,90,10.36,VU,1602680490
97,Barentu,15.11,37.59,90.46,25,62,8.7,ER,1602680892
98,Sisimiut,66.94,-53.67,34.2,93,100,1.68,GL,1602680370
99,Jamestown,42.1,-79.24,42.01,86,1,9.17,US,1602680192
100,Saint Anthony,45.02,-93.22,51.01,70,75,10.29,US,1602680491
101,Distrikt Brokopondo,4.75,-55.17,82.36,68,78,5.44,SR,1602680892
102,Souillac,-20.52,57.52,80.6,65,20,11.41,MU,1602680477
103,Creel,27.75,-107.63,50.49,54,99,4.81,MX,1602680892
104,Kruisfontein,-34.0,24.73,70.0,58,0,11.01,ZA,1602680343
105,Qaanaaq,77.48,-69.36,29.26,78,50,9.55,GL,1602680334
106,Lujiang,31.26,117.28,62.6,77,100,6.71,CN,1602680850
107,Armidale,-30.52,151.65,41.0,83,0,4.38,AU,1602680893
108,Koungou,-12.73,45.2,82.4,74,90,12.75,YT,1602680893
109,Tsimmerbude,54.67,20.13,50.0,87,90,20.13,RU,1602680893
110,Alta Floresta,-9.88,-56.09,93.56,40,22,3.0,BR,1602680893
111,Bayan,46.08,127.4,39.0,38,0,7.29,CN,1602680893
112,Tuatapere,-46.13,167.68,37.99,87,98,1.99,NZ,1602680471
113,Leshukonskoye,64.9,45.76,35.69,83,0,3.06,RU,1602680893
114,Peterhead,57.51,-1.8,54.0,71,75,9.17,GB,1602680894
115,Port Elizabeth,-33.92,25.57,69.8,46,0,10.29,ZA,1602680338
116,Nikolskoye,59.7,30.79,51.8,66,75,11.18,RU,1602680336
117,Ahipara,-35.17,173.17,53.56,79,100,9.93,NZ,1602680357
118,Werda,-25.27,23.28,90.52,13,0,5.61,BW,1602680894
119,Kiryat Gat,31.61,34.76,82.99,69,0,15.08,IL,1602680482
120,Garissa,-0.45,39.64,91.81,40,79,18.59,KE,1602680894
121,Maniitsoq,65.42,-52.9,35.1,94,100,10.4,GL,1602680894
122,Wanxian,30.8,108.39,66.83,78,100,2.55,CN,1602680894
123,Upernavik,72.79,-56.15,28.81,89,0,1.28,GL,1602680348
124,Kafanchan,9.58,8.3,85.82,58,64,2.48,NG,1602680894
125,Novouzensk,50.46,48.14,67.44,24,100,8.59,RU,1602680894
126,Chokurdakh,70.63,147.92,20.64,97,100,3.49,RU,1602680369
127,Ilulissat,69.22,-51.1,30.2,92,20,1.12,GL,1602680334
128,Zaraza,9.35,-65.32,79.48,86,0,4.09,VE,1602680895
129,Nakamura,32.98,132.93,62.67,83,0,3.58,JP,1602680895
130,East London,-33.02,27.91,69.8,52,0,10.29,ZA,1602680326
131,Pontes e Lacerda,-15.23,-59.34,93.7,45,66,0.81,BR,1602680717
132,Chapais,49.78,-74.85,39.2,100,90,5.82,CA,1602680364
133,Taltal,-25.4,-70.48,64.04,50,0,7.58,CL,1602680895
134,Wenling,28.37,121.36,71.01,73,1,11.23,CN,1602680709
135,Kavaratti,10.57,72.64,82.22,78,100,21.21,IN,1602680895
136,Tulum,20.22,-87.47,77.0,83,40,3.36,MX,1602680895
137,Torbay,47.67,-52.73,51.01,76,20,10.29,CA,1602680343
138,Hobart,-42.88,147.33,55.4,54,75,10.29,AU,1602680287
139,Nemuro,43.32,145.57,50.67,61,22,23.94,JP,1602680895
140,Bahía Blanca,-38.72,-62.27,62.24,35,0,15.79,AR,1602680895
141,Sarangani,5.4,125.46,80.56,79,100,11.18,PH,1602680896
142,Carnarvon,-24.87,113.63,69.8,77,0,20.8,AU,1602680345
143,Graham,47.05,-122.29,52.0,87,90,5.82,US,1602680725
144,Santiago de Cao,-7.96,-79.24,62.26,89,98,8.48,PE,1602680896
145,Novozaimka,56.49,66.92,51.22,65,100,15.75,RU,1602680896
146,Chengdu,30.67,104.07,62.6,77,40,2.24,CN,1602680776
147,Ponta do Sol,32.67,-17.1,75.2,64,40,9.17,PT,1602680334
148,Waingapu,-9.66,120.26,81.28,75,100,8.05,ID,1602680341
149,Nikel,69.41,30.22,33.8,100,75,26.4,RU,1602680896
150,Bambanglipuro,-7.95,110.28,78.06,85,26,4.9,ID,1602680896
151,Sitka,57.05,-135.33,37.4,93,1,5.82,US,1602680338
152,Gari,59.43,62.35,53.85,77,100,13.44,RU,1602680469
153,Homer,59.64,-151.55,41.0,86,1,1.03,US,1602680896
154,Port-Gentil,-0.72,8.78,82.4,69,90,12.75,GA,1602680564
155,Menongue,-14.66,17.69,91.74,21,73,12.82,AO,1602680897
156,Rossland,49.08,-117.8,44.01,88,32,3.89,CA,1602680799
157,Alihe,50.57,123.72,28.09,85,0,6.06,CN,1602680711
158,Pangnirtung,66.15,-65.71,32.0,84,40,4.7,CA,1602680897
159,Xining,36.62,101.77,39.81,70,0,4.18,CN,1602680339
160,Puerto Ayora,-0.74,-90.35,68.41,89,100,6.93,EC,1602680332
161,São João da Barra,-21.64,-41.05,82.4,65,2,13.87,BR,1602680897
162,Isla Mujeres,21.23,-86.73,75.0,94,40,12.55,MX,1602680897
163,Mar del Plata,-38.0,-57.56,66.99,72,37,10.29,AR,1602680348
164,Marsh Harbour,26.54,-77.06,81.39,71,32,12.93,BS,1602680422
165,Maryborough,-25.53,152.7,60.46,86,0,5.66,AU,1602680897
166,Udachny,66.42,112.4,17.6,92,90,6.71,RU,1602680362
167,Te Anau,-45.42,167.72,32.09,96,68,3.11,NZ,1602680897
168,Matara,5.95,80.54,80.22,82,100,14.67,LK,1602680897
169,Mumbwa,-14.98,27.06,86.52,35,55,9.6,ZM,1602680898
170,Trincomalee,8.57,81.23,84.22,69,100,15.39,LK,1602680898
171,Mokhsogollokh,61.47,128.92,19.81,90,100,10.58,RU,1602680898
172,Arraial do Cabo,-22.97,-42.03,82.4,69,55,14.99,BR,1602680332
173,Yashkino,55.87,85.43,48.2,70,93,15.66,RU,1602680898
174,Hamilton,39.18,-84.53,51.01,93,1,3.2,US,1602680479
175,Avarua,-21.21,-159.78,69.8,64,100,3.36,CK,1602680898
176,Novoagansk,61.94,76.66,43.14,94,100,13.13,RU,1602680898
177,Bambous Virieux,-20.34,57.76,80.6,65,20,11.41,MU,1602680346
178,Thompson,55.74,-97.86,28.4,63,75,12.75,CA,1602680268
179,Lagoa,39.05,-27.98,68.25,76,1,10.13,PT,1602680342
180,Alice Springs,-23.7,133.88,75.0,21,0,5.82,AU,1602680637
181,Asău,46.43,26.4,61.0,50,15,6.55,RO,1602680337
182,Gold Coast,-28.0,153.43,66.99,68,75,6.93,AU,1602680825
183,Ambovombe,-25.17,46.08,70.5,68,51,12.91,MG,1602680898
184,Arrondissement de Pau,43.42,-0.58,59.0,66,75,16.11,FR,1602680665
185,Colares,38.8,-9.45,68.0,55,20,17.22,PT,1602680899
186,Saint Paul Harbor,57.79,-152.41,37.4,93,1,3.36,US,1602680899
187,Port Hardy,50.7,-127.42,46.4,100,90,4.65,CA,1602680899
188,Caconda,-13.73,15.07,85.84,24,100,7.09,AO,1602680899
189,Litovko,49.24,135.17,31.57,81,0,16.58,RU,1602680899
190,Caohai,26.87,104.28,51.67,94,100,4.21,CN,1602680899
191,Adrar,20.5,-10.07,95.67,25,87,15.23,MR,1602680452
192,Yenagoa,4.92,6.26,82.54,79,93,6.06,NG,1602680899
193,Batemans Bay,-35.72,150.18,62.01,92,87,5.55,AU,1602680693
194,Mbigou,-1.9,11.91,78.37,70,79,5.53,GA,1602680899
195,Roswell,34.02,-84.36,51.8,87,1,5.77,US,1602680899
196,Lebu,-37.62,-73.65,54.05,68,24,19.91,CL,1602680334
197,Bengkulu,-3.8,102.27,79.66,84,100,5.12,ID,1602680348
198,Ancud,-41.87,-73.82,45.0,86,89,6.93,CL,1602680359
199,Roald,62.58,6.13,48.2,76,75,11.41,NO,1602680900
200,Mitsamiouli,-11.38,43.28,79.45,77,95,4.59,KM,1602680900
201,Nueve de Julio,-35.44,-60.88,66.0,62,0,1.99,AR,1602680900
202,Kaitangata,-46.28,169.85,37.0,70,42,4.0,NZ,1602680365
203,Gornopravdinsk,60.05,69.9,48.31,90,100,9.89,RU,1602680900
204,Prince Rupert,54.32,-130.32,46.4,87,90,5.82,CA,1602680900
205,Pacific Grove,36.62,-121.92,57.2,76,1,4.61,US,1602680270
206,Dickinson,29.46,-95.05,71.01,83,75,7.36,US,1602680900
207,Aykhal,66.0,111.5,17.6,92,90,6.71,RU,1602680900
208,Drayton Valley,53.22,-114.99,30.99,90,100,1.99,CA,1602680628
209,Bredasdorp,-34.53,20.04,69.8,52,0,11.41,ZA,1602680901
210,Marovoay,-16.1,46.63,89.6,43,20,14.99,MG,1602680901
211,Kangaba,11.93,-8.42,95.34,43,31,0.09,ML,1602680830
212,Egvekinot,66.32,-179.17,24.87,97,100,6.69,RU,1602680468
213,Clyde River,70.47,-68.59,12.2,92,1,3.36,CA,1602680356
214,Brigantine,39.41,-74.36,55.99,81,1,5.82,US,1602680901
215,Poronaysk,49.22,143.12,37.26,79,61,13.85,RU,1602680901
216,Marabu,4.41,114.01,75.2,94,40,8.05,MY,1602680901
217,Wanning,18.8,110.4,79.57,89,100,9.17,CN,1602680901
218,Hakkâri Province,37.58,44.17,73.4,12,20,4.7,TR,1602680902
219,Eloy,32.76,-111.55,68.0,22,1,4.7,US,1602680902
220,Pevek,69.7,170.31,31.28,93,100,17.9,RU,1602680348
221,Cockburn Town,21.46,-71.14,84.2,70,40,5.82,TC,1602680902
222,Maragogi,-9.01,-35.22,80.92,66,11,12.84,BR,1602680902
223,Svetlaya,46.54,138.33,34.29,79,0,6.64,RU,1602680902
224,Hambantota,6.12,81.12,84.2,79,20,14.99,LK,1602680902
225,Palmas,-10.21,-48.36,86.0,62,29,3.36,BR,1602680558
226,Burnie,-41.07,145.92,55.0,79,100,7.0,AU,1602680494
227,Miramar,25.99,-80.23,82.0,94,1,5.82,US,1602680903
228,Coruripe,-10.13,-36.18,82.29,58,36,15.03,BR,1602680903
229,Sistranda,63.73,8.83,48.2,70,20,6.93,NO,1602680903
230,Airai,-8.93,125.41,62.82,90,86,2.04,TL,1602680337
231,Greenfield,42.96,-88.01,48.99,61,75,3.36,US,1602680903
232,Fukuechō,32.69,128.84,68.79,67,0,24.67,JP,1602680903
233,Puerto Escondido,15.85,-97.07,75.2,83,75,6.93,MX,1602680366
234,Katete,-0.78,29.75,78.22,60,24,4.18,UG,1602680485
235,Arman',59.7,150.17,36.91,81,100,1.5,RU,1602680903
236,Narsaq,60.92,-46.05,35.6,80,75,3.36,GL,1602680405
237,Zhangjiakou,40.81,114.88,47.17,53,45,3.31,CN,1602680904
238,Marsabit,2.33,37.99,81.36,42,80,14.18,KE,1602680904
239,Avera,33.19,-82.53,62.6,82,40,4.7,US,1602680341
240,São Miguel do Araguaia,-13.28,-50.16,94.3,34,0,6.55,BR,1602680904
241,Fuxin,42.02,121.66,42.76,54,0,6.55,CN,1602680904
242,Severo-Kuril'sk,50.68,156.12,46.29,82,69,14.72,RU,1602680333
243,Japura,-0.32,102.35,78.8,87,100,0.78,ID,1602680904
244,Janaúba,-15.8,-43.31,85.28,47,64,6.87,BR,1602680904
245,Trairi,-3.28,-39.27,87.71,53,15,15.68,BR,1602680904
246,Angoche,-16.23,39.91,80.44,59,60,15.1,MZ,1602680904
247,Camaná,-16.62,-72.71,64.33,67,58,7.0,PE,1602680373
248,Bouza,14.42,6.04,99.07,15,2,6.96,NE,1602680905
249,Rio Grande,-32.03,-52.1,62.53,74,0,2.28,BR,1602680858
250,Tolaga Bay,-38.37,178.3,52.95,87,100,8.41,NZ,1602680905
251,Taksimo,56.34,114.88,25.57,84,93,4.25,RU,1602680905
252,Pisco,-13.7,-76.22,62.6,82,5,8.05,PE,1602680365
253,Mineros,-17.12,-63.23,80.6,78,49,9.17,BO,1602680905
254,Hauterive,46.09,3.45,51.8,66,100,8.05,FR,1602680905
255,Emba,48.83,58.14,59.2,31,0,2.33,KZ,1602680905
256,Vostok,46.49,135.88,21.69,94,0,6.67,RU,1602680905
257,Isangel,-19.55,169.27,76.28,85,100,9.42,VU,1602680338
258,Ogdensburg,44.69,-75.49,46.99,93,20,4.7,US,1602680905
259,Karratha,-20.74,116.85,80.49,47,0,12.3,AU,1602680905
260,Nysa,50.47,17.33,48.0,74,100,1.01,PL,1602680906
261,Broome,42.25,-75.83,45.0,75,1,8.05,US,1602680906
262,Muros,42.78,-9.06,61.0,78,20,7.0,ES,1602680906
263,Verkhnevilyuysk,63.45,120.32,20.01,91,0,6.51,RU,1602680906
264,Santa Lucía,27.91,-15.54,79.0,69,20,10.29,ES,1602680906
265,Chanute,37.68,-95.46,59.0,62,1,17.22,US,1602680906
266,Neyyāttinkara,8.4,77.08,82.4,94,75,4.7,IN,1602680906
267,Charters Towers,-20.1,146.27,66.96,79,12,8.61,AU,1602680906
268,Maceió,-9.67,-35.74,84.2,62,75,14.99,BR,1602680898
269,Moose Factory,51.26,-80.61,41.0,80,40,10.29,CA,1602680468
270,Linden,6.0,-58.3,87.01,60,2,4.81,GY,1602680907
271,Gouré,13.98,10.27,100.99,22,0,1.99,NE,1602680451
272,Magistral'nyy,56.17,107.45,30.02,97,100,4.09,RU,1602680907
273,George Town,5.41,100.34,84.2,74,20,3.36,MY,1602680332
274,Wukari,7.85,9.78,87.21,62,13,4.47,NG,1602680907
275,Cayenne,4.93,-52.33,87.8,62,40,11.41,GF,1602680399
276,Fernández,-27.92,-63.89,70.03,47,100,9.93,AR,1602680907
277,Baykit,61.67,96.37,32.0,95,100,8.84,RU,1602680483
278,Kamaishi,39.27,141.88,56.62,68,100,6.22,JP,1602680907
279,Prestea,5.43,-2.14,84.79,70,66,5.1,GH,1602680907
280,Oruzgan,32.83,66.0,52.16,34,0,4.63,AF,1602680907
281,Kyaikkami,16.08,97.57,81.01,82,47,6.98,MM,1602680908
282,The Valley,18.22,-63.06,84.99,79,20,8.05,AI,1602680360
283,Kailua,21.4,-157.74,78.8,78,75,3.36,US,1602680908
284,Gemeente Wageningen,51.97,5.67,54.0,67,100,3.0,NL,1602680908
285,Essau,13.48,-16.53,89.6,66,40,3.36,GM,1602680908
286,Derzhavīnsk,51.1,66.32,56.43,37,100,7.63,KZ,1602680459
287,Mastic Beach,40.77,-72.85,55.0,81,1,3.36,US,1602680391
288,Caravelas,-17.71,-39.25,81.57,72,64,8.66,BR,1602680338
289,Yumen,40.28,97.2,44.29,46,0,11.52,CN,1602680908
290,San Clemente,33.43,-117.61,66.99,66,1,3.36,US,1602680908
291,Kpandae,8.47,-0.01,83.77,73,100,6.08,GH,1602680908
292,Esperance,-33.87,121.9,59.0,100,90,10.29,AU,1602680340
293,Kampene,-3.6,26.67,87.03,52,78,1.72,CD,1602680909
294,Ouésso,1.61,16.05,82.69,76,100,3.71,CG,1602680909
295,Lavrentiya,65.58,-171.0,28.6,91,0,0.74,RU,1602680494
296,Kernersville,36.12,-80.07,55.0,76,1,3.02,US,1602680909
297,Port Lincoln,-34.73,135.87,69.67,44,100,10.96,AU,1602680368
298,Kedrovyy,56.17,91.82,37.4,86,40,6.71,RU,1602680909
299,Chui,-33.7,-53.46,65.3,70,76,2.8,UY,1602680339
300,Ol'ga,43.74,135.29,33.4,86,0,4.0,RU,1602680909
301,Kabanjahe,3.1,98.49,75.2,88,40,6.93,ID,1602680909
302,Sydney Mines,46.24,-60.22,57.99,82,90,23.04,CA,1602680909
303,Khovd,48.01,91.64,34.9,77,0,3.24,MN,1602680910
304,Oranjestad,12.52,-70.03,86.0,74,40,13.87,AW,1602680910
305,Lagunas,-5.23,-75.68,76.66,87,28,1.28,PE,1602680910
306,Omboué,-1.57,9.26,79.84,72,99,10.6,GA,1602680910
307,Cayon,17.35,-62.73,84.2,79,20,6.93,KN,1602680910
308,Sinjār,36.32,41.88,91.24,11,20,6.02,IQ,1602680910
309,Ürümqi,43.8,87.6,53.6,37,0,4.47,CN,1602680891
310,Manacapuru,-3.3,-60.62,80.6,83,20,3.04,BR,1602680910
311,Preobrazheniye,42.9,133.91,38.71,69,0,9.08,RU,1602680911
312,Acaraú,-2.89,-40.12,86.94,54,39,17.87,BR,1602680481
313,Flinders,-34.58,150.86,64.0,82,88,1.01,AU,1602680911
314,Olímpia,-20.74,-48.91,95.83,25,97,11.14,BR,1602680911
315,Hermosillo,29.07,-110.97,80.01,57,100,3.06,MX,1602680644
316,Haines Junction,60.75,-137.51,30.99,91,43,0.65,CA,1602680345
317,Uromi,6.7,6.33,83.05,72,99,3.33,NG,1602680911
318,Mogadishu,2.04,45.34,86.0,62,75,12.75,SO,1602680369
319,Fallon,39.47,-118.78,54.0,40,1,5.82,US,1602680911
320,Luau,-10.71,22.22,86.63,42,85,5.21,AO,1602680911
321,Tambopata,-12.73,-69.18,87.04,49,0,1.57,PE,1602680911
322,Vila Velha,-20.33,-40.29,82.0,78,75,13.87,BR,1602680458
323,Talcahuano,-36.72,-73.12,53.6,87,0,8.05,CL,1602680912
324,Altay,47.87,88.12,35.82,74,0,4.65,CN,1602680500
325,Doha,25.29,51.53,91.4,49,20,11.41,QA,1602680912
326,South Sioux City,42.47,-96.41,57.0,58,1,10.29,US,1602680912
327,Tawang Town,27.58,91.87,50.05,65,0,5.28,IN,1602680912
328,Vallenar,-28.57,-70.76,64.26,49,2,3.96,CL,1602680567
329,Pundaguitan,6.37,126.17,77.14,89,100,4.92,PH,1602680912
330,Ambilobe,-13.2,49.05,83.91,48,92,6.49,MG,1602680473
331,Shimoda,34.67,138.95,62.01,80,100,3.0,JP,1602680568
332,Tāybād,34.74,60.78,63.1,26,0,12.97,IR,1602680912
333,Yabēlo,4.88,38.08,60.21,92,100,3.53,ET,1602680912
334,Tautira,-17.73,-149.15,77.0,73,33,9.17,PF,1602680912
335,Sarkand,45.41,79.92,46.6,53,0,2.26,KZ,1602680913
336,Tura,25.52,90.22,76.1,93,0,1.77,IN,1602680166
337,Kudahuvadhoo,2.67,72.89,83.41,77,66,16.73,MV,1602680913
338,Faanui,-16.48,-151.75,78.1,77,30,9.73,PF,1602680344
339,San Patricio,28.02,-97.52,72.0,100,20,1.21,US,1602680160
340,Aklavik,68.22,-135.01,17.6,85,90,3.36,CA,1602680344
341,Jacareacanga,-6.22,-57.75,85.48,63,99,2.53,BR,1602680913
342,Richards Bay,-28.78,32.04,69.75,62,79,6.26,ZA,1602680913
343,Plainview,40.78,-73.47,55.99,82,91,1.01,US,1602680761
344,Jijiga,9.35,42.8,81.12,22,65,9.19,ET,1602680913
345,Kalmunai,7.42,81.82,86.31,56,100,8.63,LK,1602680913
346,Araouane,18.9,-3.53,102.7,9,0,12.93,ML,1602680483
347,Ballina,-28.87,153.57,60.01,82,14,6.93,AU,1602680914
348,Husavik,66.04,-17.34,53.6,58,20,16.11,IS,1602680227
349,Antofagasta,-23.65,-70.4,59.0,72,75,8.05,CL,1602680284
350,Poya,-21.35,165.15,72.1,88,6,3.58,NC,1602680914
351,Grand-Santi,4.25,-54.38,86.45,56,16,4.72,GF,1602680481
352,Leningradskiy,69.38,178.42,26.29,89,100,8.03,RU,1602680336
353,Evensk,61.95,159.23,36.75,95,100,10.4,RU,1602680914
354,Mahina,-17.51,-149.49,77.0,73,21,9.17,PF,1602680914
355,Bol,13.46,14.71,85.08,59,0,13.44,TD,1602680914
356,Alofi,-19.06,-169.92,69.8,68,95,6.93,NU,1602680478
357,Biak,-0.91,122.88,78.53,81,94,3.42,ID,1602680915
358,Pouembout,-21.13,164.9,71.85,89,6,3.67,NC,1602680915
359,Nome,64.5,-165.41,26.6,73,40,4.5,US,1602680915
360,Ubari,26.59,12.78,96.58,12,0,13.4,LY,1602680915
361,Saldanha,-33.01,17.94,80.6,53,0,11.41,ZA,1602680915
362,Puerto Madero,14.72,-92.42,75.2,100,75,4.7,MX,1602680915
363,Mahébourg,-20.41,57.7,80.6,65,20,11.41,MU,1602680363
364,Grindavik,63.84,-22.43,48.2,93,90,32.21,IS,1602680915
365,Iqaluit,63.75,-68.51,33.8,80,90,12.75,CA,1602680332
366,Chemainus,48.92,-123.72,50.0,82,99,3.51,CA,1602680915
367,Charlestown,-32.95,151.67,66.99,93,12,2.68,AU,1602680720
368,Andapa,-14.65,49.65,78.94,53,94,5.82,MG,1602680916
369,Saint-Pierre,-21.34,55.48,80.6,65,7,11.41,RE,1602680483
370,Barra do Garças,-15.89,-52.26,92.91,37,29,5.12,BR,1602680916
371,Banjar,-8.19,114.97,82.4,88,40,11.41,ID,1602680916
372,Mareeba,-17.0,145.43,72.0,88,90,10.29,AU,1602680916
373,Barreirinhas,-2.75,-42.83,86.68,54,100,10.67,BR,1602680916
